"place_id","place_name","category","latitude","longitude","pet_policy"
"129489","남해독일마을","","34.8000475","128.0383402","정보없음"
"2633903","젊은달 와이파크","","37.2739620","128.2691160","정보없음"
"3015170","참샘허브나라","","35.4524143","128.7052759","정보없음"
"662268","피나클랜드 수목원","","36.8724692","126.9263293","정보없음"
"3018216","강천섬유원지","","37.2339000","127.6956000","정보없음"
"3018384","노동 저수지","","35.4201485","126.7080657","정보없음"
"2758212","병술만어촌체험마을","","36.4733212","126.3443157","정보없음"
"3018842","갈멜정원","","34.7015600","127.0535930","정보없음"
"3035114","죽산수변공원","","34.9707365","126.6272932","정보없음"
"2714659","보롬왓","","33.4134934","126.7524940","정보없음"
"2718736","코리아플라워파크","","36.5011316","126.3367907","정보없음"
"127644","울산대공원","","35.5316566","129.2935190","정보없음"
"2714222","스누피가든","","33.4433716","126.7786050","정보없음"
"3026443","나주 우습제","","34.9375867","126.5827100","정보없음"
"128611","서울숲","","37.5430716","127.0417984","정보없음"
"2606236","옥연지 송해공원","","35.7803312","128.4802806","정보없음"
"3022743","화정중앙공원","","37.6309452","126.8318110","정보없음"
"3022888","양지파인펫파크","","37.2143230","127.2958760","정보없음"
"3078282","비비하우스","","37.6622480","126.8044630","정보없음"
"128074","안흥찐빵마을","","37.4090666","128.1526686","정보없음"
"3083766","가평카페109","","37.7746651","127.3600733","정보없음"
"3023316","양성계곡","","37.1099304","127.2176170","정보없음"
"3025977","익산산림조합산림문화체험관","","36.0586205","126.8894597","정보없음"
"3025007","비룡담 저수지","","37.1874000","128.2027000","정보없음"
"3026041","신흥근린공원","","35.9456740","126.9904760","정보없음"
"125447","넓은들 학원농장","","35.3753540","126.5433006","정보없음"
"4011845","갤럭시 신세계백화점 사우스시티점","","37.3249887","127.1081185","정보없음"
"4011848","발렌티노 신세계백화점 사우스시티점","","37.3249887","127.1081185","정보없음"
"4011853","델보 신세계백화점 사우스시티점","","37.3249887","127.1081185","정보없음"
"4011855","유니클로 스타필드마켓 죽전점","","37.3253340","127.1099743","정보없음"
"4011858","코치 롯데프리미엄아울렛 의왕점","","37.3758169","127.0102773","정보없음"
"4011863","송지오 롯데 프리미엄 아울렛 의왕점","","37.3758169","127.0102773","정보없음"
"4011864","산드로 롯데프리미엄아울렛 의왕점","","37.3758169","127.0102773","정보없음"
"4011865","윌슨 롯데프리미엄아울렛 의왕점","","37.3758169","127.0102773","정보없음"
"4011866","아이더 롯데프리미엄아울렛 의왕점","","37.3758169","127.0102773","정보없음"
